;ticker;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Net Income From Continuing Operation Net Minority Interest;Net Interest Income;EBIT;Interest Expense;Normalized Income;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Selling General And Administration;Total Revenue;Operating Revenue;cluster
80;SMTO3.SA;0.016224817675646534;-0.6076821057856983;-0.2749597886990578;-0.3786176929157259;-0.18687976243007826;-0.30796020645595207;-0.2582189403040762;-0.36055755280396706;-0.3786697027351859;-0.3786722807952468;-0.3987802861766578;-0.39181389022478613;-0.3280355220403242;-0.3863466899426646;-0.4304474502437913;-0.5363005376415746;-0.5444517365503773;3
81;CSNA3.SA;-1.1769081486856785;1.3778919274817365;0.35194200879812443;-0.3113523789010082;-0.40448143559490146;0.19099214211263396;-0.1976553765951463;-0.22913024482061561;-0.3098037035894228;-0.3098062256395619;-0.2563217050842237;-0.2515311222018538;0.3169054435910931;-0.11293644922473577;-0.10679256281550403;0.1900892940481047;0.3049855391656409;3
82;SIMH3.SA;-0.1464198504031037;-1.4125902424592125;0.1614817814292278;-0.4453013410748151;-0.4284050918844338;0.0035244186902411087;-0.14891953366905147;-0.2571196234956613;-0.4469401943611586;-0.4469428279468045;-0.40805987941513167;-0.4009517534243035;-0.3755458724706393;-0.4055720353732772;-0.2263384965997475;-0.19453186297986544;-0.2048381607531403;3
83;SLCE3.SA;-0.06579743169832825;0.26874318249066365;-0.28970655475721985;-0.3471646272122828;-0.19273619334657094;-0.2687435068414068;-0.2668541180495606;-0.3262407497264143;-0.3464681613078909;-0.34647071317787476;-0.35908457134231603;-0.35272446006966446;-0.22256899034036176;-0.32927362772427604;-0.43483001734379806;-0.4792792917670217;-0.48779005090280153;3
84;SUZB3.SA;5.571050002396698;-0.3342160239875072;2.0471965371755054;2.417769710162153;-0.39154797905326655;3.0287734898715524;-0.1286463537066477;1.3816286105735411;2.4842621861942003;2.4842619366067242;2.3687789721311203;2.333475597047302;1.5127057268072757;2.1737731790840584;-0.009147644942621488;0.2953641463142834;0.2819686996177367;0
85;TAEE11.SA;0.06656384540579544;-0.5999054066678223;-0.35433504719451026;-0.3244532933227848;-0.19104149891710992;-0.282748009783602;-0.2678599844084722;-0.318821599863955;-0.32321637510659396;-0.32321890806549347;-0.345174271001817;-0.33902661596065015;-0.3002775119802374;-0.33879125837590246;-0.48131282279742493;-0.6135131955150201;-0.6211775127297336;3
86;VIVT3.SA;-0.20245584662531232;-0.52079351330184;1.166452221864387;0.0049030329788018025;-0.30275170007423663;0.22064873027821824;-0.21268472978058786;0.06636062586710019;0.01397750881363921;0.013975250100423818;-0.02256603444525437;-0.021345672741181872;-0.112259437706604;-0.0471990373835211;0.7444853534700604;0.2609108200997777;0.6249460599179594;3
87;TIMS3.SA;0.07199274710644836;-1.5571593163962087;0.40548604133883936;-0.29674013289516576;-0.24482347357932208;-0.05174921962379758;-0.19277621234471576;-0.29312503587649097;-0.2948437359494018;-0.2948462458323375;-0.31774680739859545;-0.3120180603187009;-0.37434281290718546;-0.3371813698053407;0.1645432563022857;-0.24940956458652686;-0.25936981873092196;3
88;TOTS3.SA;0.07156080617715281;-0.10150047846213359;-0.4585417321735871;-0.4436590565763134;-0.16888174672943196;-0.4355226821143973;-0.28134583001601793;-0.4381831281488212;-0.44488655693576734;-0.44488918885115397;-0.45967918582794726;-0.4521370367987497;-0.341313359437817;-0.43594354486446535;-0.34086883339064267;-0.5908672171407372;-0.5986743336401644;3
89;TRPL4.SA;0.07156080617715281;-0.758129193399787;-0.26849690546877414;-0.2228610719260848;-0.2122407985888698;-0.17361718480141874;-0.26629759621857807;-0.21927780237568006;-0.21920660522147106;-0.21920905358740533;-0.23751283513447607;-0.23300952582134565;-0.2626766494592501;-0.24795332607981524;-0.4707004232677213;-0.5589577002607333;-0.5669660293600631;3
90;UGPA3.SA;-0.08221972097276084;-0.3467473478966788;-0.1492291637675047;-0.31823477925807847;-0.2257814555539637;-0.16002578235058185;-0.23382476847341785;-0.28509031911263;-0.27823361761168425;-0.2782361139853202;-0.2968385681401557;-0.3281888522800094;-0.2687712579461148;-0.32238435994012427;-0.06784724543839413;2.1010857374860974;2.1567970260677525;3
91;USIM5.SA;-1.5614021840289185;1.061444354017807;-0.03341224689157633;-0.30367039104443916;-0.11310635845837226;-0.13410627024008548;-0.27443513998983293;-0.17866516386201928;-0.30193891061376676;-0.30194142626733217;-0.26557310226930564;-0.26064121999484513;0.03706770502557373;-0.19194609604784357;-0.38771975084149274;-0.03882409357055663;-0.05011224153058615;3
92;VALE3.SA;1.0666633401852805;-0.5999054066678223;1.2817443863366784;1.5847083715513013;-0.18369275127078122;1.6823731696897513;-0.2583670372978173;1.3382911736269425;1.8949096939654215;1.8949089650472544;1.8092002201813024;1.5315805773866007;0.6834949308762609;1.346447536578707;-0.4318071575407282;0.18001923866190603;0.16735112509426686;0
93;VAMO3.SA;-0.025925532889740897;-0.6473725426874118;-0.3627635428123805;-0.4219914723951;-0.18761487956321368;-0.34832281277442334;-0.2569635901706373;-0.39260145708646504;-0.42307563028235445;-0.4230782444585329;-0.4417069224623951;-0.43408489498910846;-0.35175991457550176;-0.424813322140711;-0.43141927046245626;-0.5692971785234904;-0.5772403097287027;3
94;VIIA3.SA;-0.10479024909385802;1.3778919274817365;-0.40211946328682335;-0.5482746908715712;-0.29868314081151665;-0.47470328764919467;-0.2329589274711477;-0.5309011110041776;-0.5523639587932727;-0.5523666781219103;-0.5666882787933473;-0.5571573731993914;-0.6608028113093444;-0.5985820039969725;0.3641966796162464;-0.06909489720137038;-0.0801921658346272;3
95;VBBR3.SA;-0.0019704345037531196;-0.17270118249151775;-0.23685984135132476;-0.3134841124127208;-0.21244034865596506;-0.20298020064478028;-0.2496637068599526;-0.29719202267165645;-0.31198616509052385;-0.31198868891569703;-0.3343181721114105;-0.3283363255576539;-0.2501256454584617;-0.3176975136904865;-0.25121748060719984;2.8289527749989647;2.799581218197762;3
